n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,l
4.0,1.0,0.0,6.0,4.0,6.0,3.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,1.0,1.0,-1.0
8.0,1.0,0.0,6.0,21.0,28.0,3.0,3.0,6.0,1.0,70.0,0.0,0.0,0.0,0.175,0.0,0.0,7.625,3.0,1.25,-1.0
8.0,5.0,0.0,10.0,23.0,0.0,5.0,5.0,8.0,0.761904762,198.0,0.5,0.0,0.844444444,0.35,1.0,4.0,23.0,6.0,2.25,-1.0
6.0,5.0,0.0,9.0,22.0,0.0,4.0,5.0,6.0,0.6,105.0,0.5,0.0,0.88372093,0.333333333,2.0,5.0,16.16666667,4.0,1.6667,-1.0
2.0,1.0,0.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
14.0,1.0,0.0,8.0,19.0,45.0,8.0,0.0,14.0,0.576923077,138.0,1.0,0.0,0.0,0.371428571,0.0,0.0,8.571428571,3.0,0.9286,-1.0
7.0,1.0,0.0,3.0,22.0,0.0,3.0,1.0,6.0,0.555555556,112.0,1.0,0.0,0.0,0.476190476,0.0,0.0,14.57142857,4.0,1.4286,-1.0
10.0,1.0,0.0,15.0,39.0,19.0,4.0,12.0,8.0,0.888888889,344.0,0.25,1.0,0.0,0.228571429,0.0,0.0,32.6,3.0,1.1,-1.0
3.0,5.0,0.0,6.0,14.0,3.0,5.0,2.0,3.0,2.0,52.0,0.0,0.0,0.96875,0.555555556,1.0,1.0,16.33333333,3.0,1.6667,-1.0
1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
12.0,1.0,0.0,3.0,22.0,44.0,1.0,2.0,5.0,0.805194805,156.0,1.0,1.0,0.0,0.261904762,0.0,0.0,11.41666667,4.0,1.25,-1.0
16.0,1.0,0.0,13.0,74.0,50.0,0.0,13.0,12.0,0.937037037,635.0,1.0,1.0,0.0,0.288888889,0.0,0.0,37.5625,9.0,2.6875,-1.0
7.0,3.0,0.0,6.0,18.0,1.0,0.0,6.0,7.0,0.7,139.0,1.0,0.0,0.842105263,0.428571429,0.0,0.0,18.14285714,1.0,0.8571,-1.0
5.0,1.0,2.0,5.0,15.0,0.0,4.0,1.0,4.0,0.5,137.0,1.0,0.0,0.0,0.9,0.0,0.0,25.2,4.0,1.8,-1.0
2.0,7.0,0.0,2.0,8.0,1.0,0.0,2.0,1.0,1.0,37.0,0.0,0.0,0.987179487,0.5,0.0,0.0,16.5,1.0,0.5,-1.0
7.0,3.0,0.0,7.0,38.0,0.0,0.0,7.0,7.0,0.666666667,262.0,1.0,0.0,0.860465116,0.342857143,2.0,2.0,35.71428571,1.0,0.8571,-1.0
7.0,2.0,0.0,7.0,32.0,9.0,1.0,7.0,5.0,0.75,128.0,0.5,1.0,0.545454545,0.5,0.0,0.0,17.0,2.0,0.8571,-1.0
1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,-1.0
6.0,3.0,0.0,3.0,18.0,0.0,0.0,3.0,6.0,0.64,128.0,1.0,0.0,0.880952381,0.555555556,2.0,2.0,19.5,1.0,0.8333,-1.0
4.0,1.0,0.0,3.0,13.0,6.0,3.0,0.0,4.0,2.0,86.0,0.0,0.0,0.0,0.333333333,1.0,1.0,20.5,8.0,3.5,-1.0
