n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,l
11.0,2.0,0.0,11.0,37.0,3.0,3.0,10.0,6.0,0.757142857,281.0,0.0,3.0,0.4,0.2125,0.0,0.0,23.90909091,5.0,1.5455,-1.0
1.0,4.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,-1.0
3.0,1.0,0.0,0.0,25.0,3.0,0.0,0.0,2.0,2.0,165.0,0.0,0.0,0.0,0.333333333,0.0,0.0,54.0,1.0,0.6667,-1.0
4.0,3.0,0.0,4.0,18.0,2.0,0.0,4.0,2.0,0.777777778,78.0,0.333333333,1.0,0.777777778,0.416666667,1.0,2.0,17.75,1.0,0.5,-1.0
10.0,1.0,0.0,4.0,38.0,0.0,0.0,4.0,9.0,0.388888889,287.0,1.0,0.0,0.0,0.34,0.0,0.0,27.5,5.0,1.6,-1.0
2.0,2.0,0.0,5.0,4.0,1.0,3.0,2.0,0.0,2.0,51.0,0.0,0.0,0.923076923,0.666666667,1.0,3.0,24.5,6.0,3.0,-1.0
1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,-1.0
4.0,3.0,0.0,5.0,15.0,4.0,1.0,4.0,2.0,0.75,133.0,0.5,0.0,0.777777778,0.416666667,1.0,2.0,31.25,1.0,0.5,-1.0
10.0,1.0,0.0,7.0,30.0,0.0,1.0,6.0,6.0,0.574074074,303.0,1.0,3.0,0.0,0.228571429,0.0,0.0,28.7,4.0,1.6,-1.0
1.0,4.0,0.0,36.0,2.0,0.0,36.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,-1.0
4.0,1.0,0.0,2.0,10.0,0.0,0.0,2.0,4.0,0.0,83.0,0.0,0.0,0.0,0.4,0.0,0.0,19.5,2.0,0.5,-1.0
6.0,2.0,0.0,3.0,12.0,3.0,0.0,3.0,6.0,0.6,69.0,1.0,0.0,0.555555556,0.380952381,0.0,0.0,9.833333333,1.0,0.6667,-1.0
6.0,2.0,0.0,3.0,15.0,11.0,0.0,3.0,6.0,0.85,110.0,1.0,0.0,0.555555556,0.388888889,0.0,0.0,16.66666667,4.0,1.5,-1.0
3.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,1.0,1.0,27.0,0.0,0.0,0.0,0.333333333,0.0,0.0,7.666666667,2.0,1.0,-1.0
