n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,l
11.0,2.0,0.0,8.0,43.0,27.0,0.0,8.0,6.0,0.728571429,523.0,1.0,0.0,0.523809524,0.285714286,0.0,0.0,45.90909091,5.0,1.9091,2.0
7.0,3.0,0.0,11.0,31.0,9.0,0.0,11.0,5.0,0.5,285.0,1.0,0.0,0.571428571,0.428571429,0.0,0.0,39.42857143,1.0,0.8571,2.0
24.0,1.0,0.0,12.0,74.0,274.0,12.0,0.0,23.0,0.956521739,731.0,1.0,0.0,0.0,0.168478261,0.0,0.0,29.41666667,8.0,2.5833,1.0
2.0,2.0,0.0,10.0,14.0,1.0,6.0,5.0,2.0,2.0,81.0,0.0,0.0,0.941176471,1.0,1.0,1.0,39.5,1.0,0.5,2.0
5.0,2.0,0.0,8.0,13.0,0.0,4.0,6.0,5.0,0.25,62.0,1.0,0.0,0.903225806,0.433333333,0.0,0.0,11.2,1.0,0.6,1.0
44.0,1.0,2.0,45.0,86.0,946.0,2.0,43.0,44.0,1.0,344.0,1.0,1.0,0.0,0.064646465,0.0,0.0,6.772727273,1.0,0.9773,1.0
6.0,1.0,1.0,16.0,12.0,9.0,16.0,0.0,5.0,0.6,53.0,1.0,0.0,0.0,0.444444444,0.0,0.0,7.333333333,1.0,0.6667,2.0
5.0,1.0,3.0,6.0,6.0,0.0,5.0,1.0,4.0,0.625,30.0,1.0,1.0,0.0,0.466666667,0.0,0.0,4.6,2.0,1.0,1.0
5.0,2.0,0.0,11.0,21.0,10.0,4.0,9.0,5.0,2.0,154.0,0.0,0.0,0.903225806,0.4,1.0,1.0,29.8,1.0,0.6,1.0
20.0,2.0,0.0,8.0,27.0,118.0,5.0,3.0,17.0,0.473684211,129.0,1.0,1.0,0.5,0.316666667,1.0,3.0,5.4,1.0,0.95,1.0
3.0,2.0,0.0,2.0,6.0,3.0,0.0,2.0,1.0,2.0,12.0,0.0,0.0,0.714285714,0.666666667,1.0,2.0,3.0,1.0,0.6667,1.0
