n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,l
7.0,1.0,0.0,3.0,8.0,0.0,3.0,0.0,7.0,0.0,147.0,1.0,0.0,0.0,0.342857143,1.0,1.0,19.85714286,4.0,1.0,-1.0
19.0,4.0,0.0,18.0,40.0,23.0,6.0,16.0,19.0,0.688888889,386.0,1.0,1.0,0.604651163,0.119298246,2.0,4.0,19.05263158,11.0,1.7368,-1.0
4.0,1.0,0.0,7.0,22.0,6.0,2.0,5.0,2.0,2.0,121.0,0.0,0.0,0.0,0.75,0.0,0.0,29.25,4.0,1.5,-1.0
32.0,2.0,0.0,4.0,40.0,330.0,2.0,2.0,2.0,0.772759857,2011.0,0.7777777779999999,1.0,0.225,0.20625,1.0,1.0,60.4375,26.0,4.0938,-1.0
18.0,5.0,0.0,15.0,58.0,39.0,0.0,15.0,16.0,0.607843137,316.0,1.0,1.0,0.8629032259999999,0.268518519,4.0,7.0,16.38888889,4.0,1.2222,-1.0
2.0,3.0,0.0,3.0,7.0,1.0,1.0,3.0,2.0,2.0,23.0,0.0,0.0,0.96969697,1.0,0.0,0.0,10.5,1.0,0.5,-1.0
3.0,2.0,0.0,3.0,8.0,0.0,2.0,1.0,3.0,0.0,32.0,1.0,0.0,0.75,0.5555555560000001,0.0,0.0,9.333333332999999,1.0,0.6667,-1.0
2.0,4.0,0.0,5.0,15.0,1.0,0.0,5.0,1.0,2.0,67.0,0.0,0.0,0.980392157,1.0,1.0,2.0,32.5,4.0,2.0,-1.0
1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
6.0,1.0,0.0,11.0,6.0,15.0,10.0,1.0,6.0,1.2,10.0,0.0,0.0,0.0,0.7222222220000001,0.0,0.0,0.0,1.0,1.0,-1.0
12.0,1.0,0.0,3.0,22.0,44.0,1.0,2.0,5.0,0.805194805,156.0,1.0,1.0,0.0,0.261904762,0.0,0.0,11.41666667,4.0,1.25,-1.0
8.0,1.0,0.0,4.0,39.0,22.0,1.0,3.0,6.0,0.7857142859999999,377.0,0.5,0.0,0.0,0.166666667,0.0,0.0,45.875,3.0,1.25,-1.0
5.0,1.0,2.0,5.0,15.0,0.0,4.0,1.0,4.0,0.5,137.0,1.0,0.0,0.0,0.9,0.0,0.0,25.2,4.0,1.8,-1.0
4.0,3.0,0.0,5.0,10.0,2.0,0.0,5.0,4.0,0.666666667,48.0,1.0,0.0,0.925,0.5,0.0,0.0,10.5,1.0,0.75,-1.0
3.0,1.0,0.0,3.0,17.0,0.0,2.0,1.0,3.0,0.25,204.0,1.0,0.0,0.0,0.666666667,0.0,0.0,65.66666667,2.0,1.0,-1.0
5.0,1.0,0.0,2.0,7.0,4.0,2.0,0.0,0.0,0.5,39.0,1.0,0.0,0.0,0.7,0.0,0.0,6.2,1.0,0.6,-1.0
3.0,2.0,0.0,4.0,6.0,0.0,1.0,3.0,3.0,0.0,34.0,1.0,0.0,0.818181818,0.666666667,0.0,0.0,10.0,2.0,1.0,-1.0
6.0,3.0,0.0,5.0,35.0,0.0,0.0,5.0,3.0,0.8666666670000001,300.0,1.0,0.0,0.880952381,0.444444444,1.0,1.0,48.5,1.0,0.8333,-1.0
4.0,2.0,0.0,6.0,14.0,0.0,1.0,6.0,3.0,0.0,96.0,1.0,1.0,0.916666667,0.5,1.0,3.0,22.75,5.0,1.75,-1.0
6.0,3.0,0.0,6.0,18.0,5.0,0.0,6.0,5.0,0.7333333329999999,95.0,1.0,0.0,0.880952381,0.5,0.0,0.0,14.33333333,1.0,0.8333,-1.0
10.0,1.0,0.0,15.0,39.0,19.0,4.0,12.0,8.0,0.8888888890000001,344.0,0.25,1.0,0.0,0.228571429,0.0,0.0,32.6,3.0,1.1,-1.0
17.0,1.0,0.0,6.0,42.0,134.0,5.0,1.0,14.0,0.9375,936.0,1.0,1.0,0.0,0.208333333,0.0,0.0,54.0,47.0,6.8824,-1.0
4.0,2.0,0.0,4.0,15.0,0.0,1.0,3.0,4.0,0.333333333,109.0,1.0,0.0,0.75,0.5,0.0,0.0,25.75,1.0,0.75,-1.0
7.0,5.0,0.0,5.0,18.0,0.0,1.0,4.0,5.0,0.708333333,126.0,1.0,0.0,0.848484848,0.47619047600000003,2.0,5.0,16.42857143,5.0,1.2857,-1.0
4.0,2.0,0.0,4.0,16.0,0.0,0.0,4.0,4.0,0.333333333,59.0,1.0,0.0,0.842105263,0.875,1.0,1.0,13.5,5.0,1.75,-1.0
5.0,4.0,0.0,1.0,9.0,10.0,1.0,0.0,3.0,0.75,81.0,1.0,0.0,0.924528302,0.44,2.0,2.0,15.0,5.0,2.0,-1.0
4.0,5.0,0.0,6.0,15.0,0.0,5.0,2.0,4.0,0.333333333,83.0,1.0,0.0,0.9538461540000001,0.4375,1.0,1.0,19.5,5.0,2.0,-1.0
9.0,2.0,0.0,7.0,50.0,14.0,2.0,5.0,8.0,0.5625,348.0,1.0,1.0,0.8840579709999999,0.481481481,2.0,4.0,37.22222222,8.0,3.4444,-1.0
11.0,3.0,0.0,14.0,39.0,19.0,1.0,13.0,9.0,0.75,332.0,1.0,1.0,0.787234043,0.327272727,1.0,1.0,28.63636364,21.0,3.0,-1.0
5.0,1.0,0.0,1.0,19.0,0.0,1.0,0.0,3.0,0.5,108.0,1.0,0.0,0.0,0.533333333,0.0,0.0,20.2,3.0,1.4,-1.0
13.0,5.0,0.0,11.0,34.0,68.0,5.0,7.0,12.0,0.75,199.0,1.0,0.0,0.837837838,0.292307692,2.0,8.0,14.15384615,5.0,2.1538,-1.0
4.0,2.0,0.0,6.0,10.0,0.0,4.0,2.0,4.0,0.333333333,125.0,1.0,0.0,0.75,0.5,0.0,0.0,29.5,2.0,1.0,-1.0
7.0,5.0,0.0,5.0,17.0,0.0,1.0,4.0,5.0,0.7777777779999999,107.0,1.0,0.0,0.848484848,0.47619047600000003,2.0,5.0,13.85714286,5.0,1.2857,-1.0
3.0,5.0,0.0,7.0,14.0,0.0,4.0,3.0,2.0,0.25,92.0,1.0,1.0,0.953488372,0.5555555560000001,1.0,1.0,29.0,8.0,3.0,-1.0
7.0,3.0,0.0,6.0,26.0,15.0,2.0,5.0,6.0,0.833333333,237.0,0.5,0.0,0.860465116,0.28571428600000004,1.0,1.0,32.57142857,1.0,0.8571,-1.0
