n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,l
4.0,3.0,0.0,11.0,12.0,6.0,2.0,10.0,3.0,2.0,43.0,0.0,0.0,0.949152542,0.4,1.0,4.0,9.75,1.0,0.75,-1.0
2.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,2.0,2.0,10.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,1.0,1.0,-1.0
7.0,2.0,0.0,1.0,13.0,0.0,1.0,0.0,7.0,0.583333333,214.0,1.0,0.0,0.684210526,0.342857143,1.0,2.0,29.28571429,1.0,0.8571,-1.0
3.0,4.0,0.0,19.0,22.0,3.0,0.0,19.0,3.0,2.0,131.0,0.0,0.0,0.979591837,0.444444444,3.0,14.0,42.66666667,5.0,2.0,-1.0
1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,-1.0
10.0,3.0,0.0,6.0,12.0,37.0,6.0,2.0,10.0,0.888888889,52.0,1.0,0.0,0.956097561,0.4,1.0,1.0,3.8,1.0,0.9,-1.0
7.0,1.0,0.0,6.0,7.0,21.0,3.0,3.0,7.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
21.0,2.0,0.0,41.0,49.0,190.0,15.0,29.0,19.0,2.0,516.0,0.0,0.0,0.622641509,0.238095238,2.0,4.0,23.57142857,7.0,1.619,-1.0
4.0,3.0,0.0,19.0,26.0,0.0,0.0,19.0,3.0,0.333333333,311.0,1.0,0.0,0.949152542,0.4,2.0,6.0,76.5,6.0,2.25,-1.0
5.0,2.0,0.0,5.0,12.0,0.0,1.0,4.0,4.0,0.4375,119.0,1.0,3.0,0.4,0.4,0.0,0.0,22.0,7.0,2.2,-1.0
15.0,5.0,0.0,20.0,56.0,0.0,4.0,19.0,15.0,0.535714286,406.0,1.0,1.0,0.954063604,0.193939394,0.0,0.0,25.93333333,2.0,0.9333,-1.0
6.0,3.0,0.0,21.0,36.0,0.0,2.0,20.0,5.0,0.5,289.0,1.0,3.0,0.934210526,0.285714286,2.0,8.0,46.5,7.0,2.5,-1.0
6.0,3.0,0.0,20.0,37.0,15.0,10.0,11.0,5.0,1.133333333,273.0,1.0,0.0,0.897435897,0.56,1.0,4.0,44.0,16.0,3.1667,-1.0
38.0,3.0,0.0,27.0,128.0,607.0,1.0,27.0,6.0,0.9,1849.0,0.0,2.0,0.357142857,0.194594595,0.0,0.0,47.39473684,15.0,3.7632,-1.0
5.0,2.0,0.0,8.0,15.0,0.0,5.0,3.0,4.0,0.25,72.0,1.0,1.0,0.4,0.466666667,0.0,0.0,13.2,3.0,1.2,-1.0
4.0,1.0,0.0,4.0,16.0,0.0,1.0,3.0,3.0,0.5,242.0,1.0,0.0,0.0,0.4375,0.0,0.0,58.5,6.0,3.0,-1.0
7.0,1.0,0.0,1.0,8.0,21.0,0.0,1.0,7.0,1.0,30.0,1.0,1.0,0.0,0.5,0.0,0.0,3.0,1.0,0.8571,-1.0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
