n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,l
10.0,3.0,0.0,3.0,23.0,0.0,1.0,2.0,8.0,0.75,143.0,0.5,0.0,0.538461538,0.288888889,2.0,2.0,12.9,2.0,0.7,-1.0
2.0,2.0,0.0,5.0,4.0,1.0,3.0,2.0,0.0,2.0,51.0,0.0,0.0,0.923076923,0.666666667,1.0,3.0,24.5,6.0,3.0,-1.0
3.0,1.0,0.0,5.0,7.0,0.0,4.0,1.0,3.0,0.357142857,106.0,0.142857143,1.0,0.0,0.666666667,0.0,0.0,32.0,2.0,1.0,-1.0
1.0,5.0,0.0,5.0,2.0,0.0,5.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,-1.0
7.0,2.0,0.0,9.0,20.0,5.0,2.0,8.0,3.0,0.796296296,191.0,0.0,4.0,0.285714286,0.277777778,0.0,0.0,25.0,8.0,1.7143,-1.0
1.0,1.0,0.0,19.0,1.0,0.0,18.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
3.0,1.0,2.0,5.0,4.0,3.0,4.0,2.0,1.0,2.0,6.0,0.0,0.0,0.0,0.666666667,0.0,0.0,1.0,1.0,0.6667,-1.0
1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,18.0,0.0,3.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,-1.0
7.0,1.0,2.0,10.0,8.0,21.0,7.0,3.0,0.0,2.0,10.0,0.0,0.0,0.0,0.4,0.0,0.0,0.428571429,1.0,0.8571,-1.0
10.0,2.0,0.0,24.0,37.0,7.0,9.0,18.0,4.0,0.759259259,276.0,0.0,8.0,0.333333333,0.188888889,0.0,0.0,25.4,4.0,1.4,-1.0
3.0,2.0,0.0,4.0,6.0,0.0,2.0,3.0,3.0,0.333333333,44.0,0.0,3.0,0.5,0.466666667,0.0,0.0,12.66666667,3.0,1.3333,-1.0
13.0,2.0,0.0,13.0,25.0,46.0,3.0,11.0,3.0,0.833333333,364.0,0.0,5.0,0.352941176,0.196969697,0.0,0.0,26.30769231,14.0,2.4615,-1.0
7.0,1.0,4.0,12.0,8.0,17.0,11.0,1.0,5.0,0.833333333,28.0,1.0,0.0,0.0,0.380952381,0.0,0.0,2.714285714,1.0,0.7143,-1.0
1.0,4.0,0.0,36.0,2.0,0.0,36.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,-1.0
2.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,9.0,0.0,0.0,0.923076923,0.666666667,1.0,1.0,3.5,1.0,0.5,-1.0
2.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,2.0,2.0,37.0,0.0,0.0,0.0,0.75,0.0,0.0,17.5,3.0,1.5,-1.0
23.0,1.0,0.0,12.0,66.0,99.0,3.0,9.0,2.0,0.847593583,1164.0,0.470588235,4.0,0.0,0.231404959,0.0,0.0,48.86956522,2.0,0.8696,-1.0
6.0,1.0,1.0,5.0,7.0,15.0,3.0,3.0,0.0,2.0,9.0,0.0,0.0,0.0,0.416666667,0.0,0.0,0.5,1.0,0.8333,-1.0
4.0,1.0,0.0,16.0,6.0,6.0,15.0,3.0,3.0,1.0,15.0,0.0,2.0,0.0,0.833333333,0.0,0.0,2.25,1.0,0.75,-1.0
9.0,2.0,0.0,12.0,21.0,24.0,2.0,12.0,5.0,0.916666667,167.0,0.0,6.0,0.363636364,0.270833333,0.0,0.0,16.55555556,6.0,2.0,-1.0
