n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,l
6.0,1.0,4.0,12.0,18.0,7.0,4.0,8.0,3.0,0.666666667,99.0,1.0,1.0,0.0,0.416666667,0.0,0.0,15.0,4.0,1.8333,1.0
5.0,2.0,0.0,11.0,26.0,10.0,4.0,9.0,5.0,2.0,204.0,0.0,0.0,0.903225806,0.4,2.0,2.0,39.8,1.0,0.6,2.0
13.0,1.0,1.0,7.0,23.0,34.0,2.0,5.0,12.0,0.847222222,106.0,1.0,2.0,0.0,0.21978022,0.0,0.0,6.692307692,2.0,1.0,2.0
5.0,2.0,0.0,8.0,12.0,0.0,4.0,6.0,5.0,0.25,54.0,1.0,0.0,0.903225806,0.433333333,0.0,0.0,9.6,1.0,0.6,1.0
12.0,1.0,0.0,2.0,25.0,0.0,1.0,1.0,0.0,0.436363636,218.0,1.0,0.0,0.0,0.395833333,0.0,0.0,16.75,3.0,1.3333,1.0
1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,2.0
3.0,1.0,0.0,9.0,3.0,3.0,6.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.933333333,0.0,0.0,0.0,1.0,1.0,1.0
9.0,4.0,0.0,4.0,19.0,8.0,1.0,3.0,8.0,0.75,280.0,1.0,0.0,0.75,0.333333333,1.0,2.0,29.88888889,10.0,2.1111,2.0
4.0,2.0,0.0,9.0,22.0,6.0,4.0,7.0,4.0,2.0,157.0,0.0,0.0,0.933333333,0.416666667,1.0,1.0,38.25,1.0,0.5,1.0
1.0,1.0,0.0,5.0,1.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
3.0,2.0,0.0,2.0,6.0,3.0,0.0,2.0,1.0,2.0,12.0,0.0,0.0,0.714285714,0.666666667,1.0,2.0,3.0,1.0,0.6667,1.0
6.0,1.0,1.0,5.0,17.0,3.0,3.0,2.0,5.0,0.4,141.0,1.0,0.0,0.0,0.388888889,0.0,0.0,22.33333333,4.0,1.3333,1.0
2.0,1.0,0.0,1.0,10.0,1.0,0.0,1.0,2.0,2.0,42.0,0.0,0.0,0.0,0.75,0.0,0.0,20.0,4.0,2.0,1.0
5.0,5.0,0.0,23.0,7.0,0.0,20.0,3.0,5.0,0.6875,45.0,1.0,0.0,0.823529412,0.5,0.0,0.0,7.2,1.0,0.6,1.0
1.0,1.0,0.0,8.0,1.0,0.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
4.0,2.0,0.0,8.0,12.0,6.0,4.0,6.0,4.0,2.0,67.0,0.0,0.0,0.933333333,0.416666667,1.0,1.0,15.75,1.0,0.5,1.0
1.0,1.0,0.0,5.0,1.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
11.0,1.0,0.0,13.0,40.0,0.0,2.0,11.0,10.0,0.663636364,580.0,1.0,3.0,0.0,0.246753247,0.0,0.0,50.72727273,3.0,1.1818,2.0
4.0,2.0,0.0,9.0,8.0,6.0,4.0,7.0,4.0,2.0,23.0,0.0,0.0,0.933333333,0.392857143,0.0,0.0,4.75,1.0,0.5,1.0
4.0,2.0,0.0,11.0,21.0,6.0,4.0,9.0,4.0,2.0,168.0,0.0,0.0,0.933333333,0.416666667,1.0,1.0,41.0,1.0,0.5,1.0
