n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,l
3.0,5.0,0.0,9.0,11.0,3.0,5.0,4.0,3.0,2.0,76.0,0.0,0.0,0.953488372,0.666666667,1.0,1.0,24.33333333,4.0,1.6667,-1.0
9.0,5.0,0.0,5.0,28.0,12.0,0.0,5.0,8.0,0.5,217.0,1.0,0.0,0.8,0.481481481,2.0,5.0,22.66666667,1.0,0.7778,-1.0
35.0,3.0,0.0,14.0,90.0,519.0,4.0,10.0,25.0,0.9090909090000001,815.0,1.0,3.0,0.536231884,0.171428571,0.0,0.0,21.97142857,7.0,1.4,-1.0
7.0,3.0,0.0,7.0,23.0,0.0,0.0,7.0,7.0,0.625,145.0,1.0,0.0,0.860465116,0.342857143,1.0,1.0,19.14285714,5.0,1.4286,-1.0
48.0,4.0,0.0,25.0,109.0,964.0,7.0,20.0,44.0,0.946301925,819.0,0.9523809520000001,4.0,0.624,0.15416666699999998,3.0,3.0,15.625,7.0,1.375,-1.0
8.0,6.0,0.0,10.0,31.0,18.0,0.0,10.0,4.0,0.80952381,149.0,1.0,1.0,0.9625,0.35714285700000004,3.0,9.0,17.25,2.0,0.875,-1.0
7.0,1.0,0.0,9.0,7.0,21.0,8.0,1.0,7.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
3.0,4.0,3.0,32.0,9.0,3.0,28.0,4.0,2.0,2.0,23.0,0.0,0.0,0.9886363640000001,0.666666667,3.0,4.0,6.666666667,2.0,0.6667,-1.0
12.0,4.0,0.0,5.0,60.0,16.0,0.0,5.0,8.0,0.9020979020000001,720.0,0.538461538,1.0,0.8764044940000001,0.305555556,1.0,2.0,57.91666667,3.0,1.0833,-1.0
8.0,1.0,0.0,4.0,15.0,6.0,4.0,0.0,7.0,0.571428571,286.0,1.0,0.0,0.0,0.541666667,0.0,0.0,34.5,13.0,2.375,-1.0
