n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,l
2.0,2.0,0.0,1.0,5.0,1.0,0.0,1.0,2.0,2.0,14.0,0.0,0.0,0.923076923,0.75,0.0,0.0,6.0,1.0,0.5,-1.0
11.0,1.0,0.0,2.0,16.0,35.0,1.0,2.0,11.0,0.6,52.0,1.0,1.0,0.0,0.424242424,0.0,0.0,3.636363636,1.0,0.9091,-1.0
3.0,7.0,0.0,6.0,33.0,3.0,3.0,4.0,3.0,2.0,180.0,0.0,0.0,0.996946565,0.555555556,0.0,0.0,59.0,1.0,0.6667,-1.0
11.0,6.0,0.0,7.0,50.0,25.0,3.0,6.0,1.0,0.716666667,333.0,1.0,0.0,0.985119048,0.5,3.0,5.0,28.72727273,6.0,1.9091,-1.0
4.0,1.0,0.0,6.0,22.0,4.0,0.0,6.0,3.0,0.833333333,118.0,1.0,0.0,0.0,0.3,0.0,0.0,28.0,5.0,2.25,-1.0
4.0,1.0,0.0,4.0,4.0,6.0,4.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.916666667,0.0,0.0,0.0,1.0,1.0,-1.0
11.0,4.0,0.0,18.0,26.0,33.0,14.0,5.0,11.0,0.45,141.0,0.0,0.0,0.764705882,0.363636364,1.0,2.0,11.63636364,2.0,1.0,-1.0
3.0,6.0,0.0,4.0,18.0,1.0,1.0,3.0,3.0,0.5,302.0,1.0,1.0,0.996987952,1.0,2.0,4.0,95.33333333,2.0,1.3333,-1.0
12.0,7.0,0.0,12.0,92.0,28.0,4.0,11.0,2.0,0.843434343,1013.0,0.888888889,1.0,0.983433735,0.214285714,0.0,0.0,81.91666667,9.0,2.6667,-1.0
4.0,2.0,0.0,4.0,9.0,0.0,1.0,3.0,0.0,0.444444444,80.0,1.0,0.0,0.7,0.357142857,1.0,2.0,18.25,5.0,1.75,-1.0
407.0,1.0,0.0,47.0,494.0,0.0,1.0,47.0,83.0,0.722068966,23683.0,0.8,8.0,0.0,0.183865684,0.0,0.0,57.12776413,28.0,4.8894,-1.0
2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,1.0,1.0,-1.0
6.0,2.0,0.0,4.0,22.0,3.0,1.0,3.0,0.0,1.0625,288.0,0.0,0.0,0.636363636,0.285714286,1.0,2.0,44.33333333,25.0,5.1667,-1.0
1.0,1.0,0.0,10.0,2.0,0.0,9.0,1.0,1.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,-1.0
