n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,l
3.0,1.0,0.0,12.0,29.0,1.0,1.0,11.0,2.0,0.5,143.0,1.0,0.0,0.0,0.5,0.0,0.0,46.33333333,12.0,4.0,-1.0
4.0,2.0,0.0,6.0,11.0,2.0,0.0,6.0,3.0,0.666666667,49.0,1.0,0.0,0.6,0.666666667,0.0,0.0,10.75,3.0,1.0,-1.0
3.0,3.0,0.0,13.0,28.0,3.0,0.0,13.0,3.0,2.0,142.0,0.0,0.0,0.777777778,0.555555556,0.0,0.0,46.33333333,9.0,3.3333,-1.0
3.0,1.0,0.0,9.0,13.0,0.0,1.0,8.0,3.0,0.0,113.0,1.0,1.0,0.0,0.533333333,0.0,0.0,35.66666667,1.0,0.3333,-1.0
2.0,3.0,0.0,6.0,5.0,1.0,2.0,4.0,2.0,2.0,14.0,0.0,0.0,0.8,0.5,0.0,0.0,6.0,1.0,0.5,-1.0
4.0,1.0,0.0,24.0,17.0,0.0,15.0,9.0,2.0,0.333333333,59.0,1.0,0.0,0.0,0.333333333,0.0,0.0,13.5,1.0,0.5,-1.0
5.0,1.0,0.0,12.0,31.0,0.0,0.0,12.0,2.0,1.0,132.0,0.25,0.0,0.0,0.5,0.0,0.0,24.6,1.0,0.6,-1.0
15.0,2.0,0.0,12.0,73.0,67.0,0.0,12.0,11.0,0.761904762,609.0,1.0,0.0,0.277777778,0.276785714,2.0,3.0,39.4,9.0,2.4,-1.0
10.0,1.0,0.0,8.0,20.0,9.0,7.0,1.0,10.0,0.666666667,148.0,1.0,0.0,0.0,0.475,0.0,0.0,13.5,2.0,1.2,-1.0
51.0,1.0,0.0,4.0,71.0,1025.0,1.0,3.0,47.0,0.86,481.0,1.0,0.0,0.0,0.236666667,0.0,0.0,8.274509804,3.0,1.2157,-1.0
43.0,1.0,0.0,18.0,44.0,781.0,18.0,0.0,43.0,0.953514739,274.0,1.0,0.0,0.0,0.297674419,0.0,0.0,4.88372093,1.0,0.9767,-1.0
5.0,1.0,1.0,21.0,47.0,0.0,2.0,19.0,2.0,0.25,242.0,1.0,0.0,0.0,0.5,0.0,0.0,47.0,4.0,1.6,-1.0
14.0,1.0,0.0,15.0,26.0,29.0,8.0,7.0,14.0,0.769230769,159.0,1.0,2.0,0.0,0.3,0.0,0.0,9.928571429,9.0,1.5,-1.0
4.0,1.0,0.0,4.0,31.0,0.0,4.0,0.0,2.0,0.5,179.0,1.0,0.0,0.0,0.333333333,0.0,0.0,42.75,4.0,2.0,-1.0
1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
6.0,1.0,0.0,12.0,22.0,3.0,2.0,10.0,5.0,0.4,194.0,1.0,0.0,0.0,0.6,0.0,0.0,31.0,9.0,3.3333,-1.0
3.0,1.0,0.0,13.0,18.0,1.0,2.0,11.0,2.0,0.5,90.0,1.0,0.0,0.0,0.5,0.0,0.0,28.0,7.0,2.3333,-1.0
3.0,1.0,0.0,11.0,26.0,1.0,2.0,9.0,2.0,0.5,158.0,1.0,0.0,0.0,0.5,0.0,0.0,51.33333333,11.0,3.6667,-1.0
6.0,1.0,0.0,3.0,15.0,0.0,1.0,2.0,6.0,0.5,60.0,1.0,1.0,0.0,0.458333333,0.0,0.0,8.666666667,1.0,0.6667,-1.0
3.0,1.0,0.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,1.0,1.0,-1.0
3.0,3.0,0.0,7.0,15.0,3.0,0.0,7.0,3.0,2.0,46.0,0.0,0.0,0.777777778,0.555555556,0.0,0.0,14.33333333,3.0,1.3333,-1.0
7.0,1.0,0.0,1.0,8.0,0.0,1.0,0.0,7.0,0.722222222,113.0,1.0,0.0,0.0,0.428571429,0.0,0.0,14.28571429,7.0,1.7143,-1.0
4.0,2.0,0.0,4.0,13.0,4.0,1.0,4.0,1.0,0.666666667,51.0,1.0,1.0,0.818181818,0.444444444,1.0,1.0,11.5,3.0,1.0,-1.0
