l,n_0,n_1,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_2,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_3,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_4,n_5,n_6,n_7,n_8,n_9
-1.0,21.0,31.0,13.0,0.72,72.0,1.0,0.0,125.0,3.0,77.8,40.25,126046.47,10.0,1.04,438.0,0.02,7002.58,3131.59,0.06,9.0,17.0,56.0,0.07,13.0,168.0,270.0,96.0,46.0,254.0,33.51,138.0,,,50.0,34.0,18.0,0.13,16.0,2.13
-1.0,19.0,7.0,4.0,1.0,15.0,4.0,1.0,22.0,1.0,28.43,13.42,5120.93,5.0,0.13,75.0,0.07,284.5,381.56,1.0,3.0,6.0,13.0,0.07,5.0,34.0,41.0,19.0,15.0,57.0,40.54,27.0,,,10.0,12.0,4.0,0.15,6.0,2.0
-1.0,53.0,57.0,27.0,0.93,162.0,7.0,0.21,130.0,0.0,91.32,55.88,285170.84,13.0,1.7,729.0,0.02,15842.82,5103.0,0.24,28.0,56.0,135.0,0.11,45.0,309.0,420.0,94.0,34.0,259.0,30.85,175.0,,,13.0,112.0,29.0,0.17,56.0,2.0
-1.0,3.0,3.0,1.0,0.5,5.0,1.0,0.0,8.0,1.0,10.63,3.75,149.49,0.0,0.01,12.0,0.27,8.3,39.86,0.5,1.0,2.0,5.0,0.11,1.0,5.0,7.0,4.0,6.0,19.0,46.67,9.0,,,6.0,4.0,2.0,0.22,2.0,2.0
-1.0,6.0,7.0,1.0,0.25,13.0,4.0,1.0,21.0,1.0,21.34,24.44,12748.97,0.0,0.17,98.0,0.04,708.28,521.54,1.0,3.0,5.0,11.0,0.12,6.0,40.0,58.0,18.0,22.0,34.0,22.22,27.0,,,0.0,10.0,4.0,0.15,4.0,2.5
-1.0,7.0,9.0,3.0,0.6,20.0,3.0,0.5,27.0,0.0,24.71,21.86,11802.86,3.0,0.18,108.0,0.05,655.71,540.0,0.6,4.0,7.0,17.0,0.11,4.0,34.0,74.0,14.0,18.0,44.0,25.0,31.0,,,5.0,14.0,5.0,0.16,6.0,2.33
-1.0,23.0,9.0,2.0,0.4,23.0,1.0,0.0,24.0,0.0,43.1,15.2,9958.0,6.0,0.22,120.0,0.07,553.22,655.13,0.2,4.0,8.0,20.0,0.07,3.0,40.0,80.0,25.0,19.0,71.0,48.94,27.0,,,20.0,16.0,5.0,0.19,8.0,2.0
-1.0,10.0,7.0,3.0,0.75,21.0,1.0,0.0,17.0,2.0,31.11,12.06,4520.83,5.0,0.13,75.0,0.08,251.16,375.0,0.25,3.0,6.0,19.0,0.12,5.0,31.0,44.0,18.0,14.0,34.0,26.09,22.0,,,1.0,12.0,4.0,0.18,6.0,2.0
-1.0,15.0,13.0,6.0,0.86,39.0,1.0,0.0,36.0,2.0,34.37,26.52,24176.72,4.0,0.3,168.0,0.04,1343.15,911.61,0.14,6.0,12.0,34.0,0.13,1.0,67.0,101.0,24.0,19.0,54.0,5.26,37.0,,,1.0,24.0,7.0,0.19,12.0,2.0
-1.0,33.0,5.0,3.0,1.0,14.0,1.0,0.0,16.0,3.0,28.18,15.16,6475.08,4.0,0.14,82.0,0.07,359.73,427.18,0.33,2.0,4.0,13.0,0.05,8.0,32.0,50.0,19.0,18.0,62.0,42.86,24.0,,,4.0,8.0,3.0,0.13,4.0,2.0
-1.0,5.0,5.0,3.0,1.0,16.0,1.0,0.0,13.0,0.0,25.58,13.2,4456.28,2.0,0.11,71.0,0.08,247.57,337.6,0.33,2.0,4.0,15.0,0.13,4.0,33.0,38.0,15.0,12.0,23.0,23.53,17.0,,,0.0,8.0,3.0,0.18,4.0,2.0
-1.0,23.0,13.0,1.0,0.14,27.0,5.0,0.67,23.0,3.0,17.45,27.22,12929.85,0.0,0.16,105.0,0.04,718.32,474.97,0.71,6.0,12.0,22.0,0.09,10.0,35.0,70.0,9.0,14.0,74.0,54.0,33.0,,,17.0,24.0,7.0,0.21,12.0,2.0
-1.0,31.0,19.0,6.0,0.6,41.0,3.0,0.22,52.0,2.0,47.49,47.96,109246.59,5.0,0.76,350.0,0.02,6069.25,2277.73,0.3,9.0,17.0,33.0,0.08,12.0,140.0,210.0,54.0,37.0,121.0,41.57,64.0,,,25.0,34.0,10.0,0.16,16.0,2.13
-1.0,7.0,3.0,2.0,1.0,6.0,1.0,0.0,12.0,2.0,14.62,6.43,604.36,2.0,0.03,23.0,0.16,33.58,94.01,0.5,1.0,2.0,6.0,0.1,0.0,9.0,14.0,7.0,10.0,20.0,0.0,12.0,,,0.0,4.0,2.0,0.17,2.0,2.0
-1.0,77.0,49.0,24.0,0.96,137.0,15.0,0.58,172.0,4.0,243.12,22.99,128457.87,9.0,1.86,750.0,0.04,7136.55,5588.41,0.6,24.0,47.0,114.0,0.07,20.0,252.0,498.0,148.0,27.0,343.0,30.65,192.0,,,56.0,94.0,25.0,0.13,46.0,2.04
-1.0,1.0,3.0,1.0,0.5,5.0,1.0,0.0,9.0,3.0,13.38,8.25,910.48,0.0,0.04,27.0,0.12,50.58,110.36,0.5,1.0,2.0,5.0,0.12,3.0,9.0,18.0,6.0,11.0,17.0,40.0,12.0,,,3.0,4.0,2.0,0.17,2.0,2.0
-1.0,1.0,9.0,1.0,0.2,18.0,1.0,0.0,31.0,2.0,14.28,19.94,5674.43,0.0,0.09,67.0,0.05,315.25,284.61,0.2,4.0,8.0,15.0,0.13,1.0,29.0,38.0,8.0,11.0,38.0,13.89,32.0,,,4.0,16.0,5.0,0.16,8.0,2.0
-1.0,5.0,9.0,4.0,0.8,24.0,1.0,0.0,25.0,1.0,27.4,20.16,11135.5,1.0,0.18,100.0,0.05,618.64,552.36,0.2,4.0,8.0,21.0,0.15,2.0,48.0,52.0,25.0,21.0,33.0,7.41,27.0,,,0.0,16.0,5.0,0.19,8.0,2.0
-1.0,6.0,5.0,3.0,1.0,15.0,1.0,0.0,21.0,2.0,40.4,11.25,5113.63,6.0,0.15,86.0,0.09,284.09,454.54,0.33,2.0,4.0,14.0,0.09,0.0,36.0,50.0,24.0,15.0,34.0,22.22,21.0,,,6.0,8.0,3.0,0.14,4.0,2.0
-1.0,12.0,7.0,4.0,1.0,25.0,1.0,0.0,30.0,0.0,30.45,20.71,13065.14,8.0,0.21,122.0,0.05,725.84,630.73,0.25,3.0,6.0,23.0,0.08,3.0,58.0,64.0,21.0,15.0,49.0,16.67,33.0,,,3.0,12.0,4.0,0.12,6.0,2.0
-1.0,4.0,3.0,1.0,0.5,6.0,1.0,0.0,14.0,2.0,16.29,9.29,1404.34,0.0,0.05,37.0,0.11,78.02,151.24,0.5,1.0,2.0,6.0,0.09,3.0,13.0,24.0,7.0,10.0,22.0,17.65,17.0,,,0.0,4.0,2.0,0.12,2.0,2.0
-1.0,1.0,3.0,2.0,1.0,9.0,1.0,0.0,22.0,1.0,36.77,11.48,4842.06,5.0,0.14,81.0,0.09,269.0,421.97,0.5,1.0,2.0,9.0,0.06,0.0,27.0,54.0,20.0,17.0,36.0,35.29,22.0,,,12.0,4.0,2.0,0.09,2.0,2.0
-1.0,156.0,63.0,10.0,0.31,129.0,12.0,0.35,85.0,1.0,78.34,51.47,207526.23,5.0,1.34,589.0,0.02,11529.23,4031.99,0.38,31.0,58.0,99.0,0.1,53.0,267.0,322.0,83.0,32.0,330.0,48.48,138.0,,,27.0,116.0,32.0,0.23,54.0,2.15
-1.0,2.0,3.0,2.0,1.0,8.0,1.0,0.0,19.0,2.0,31.71,8.91,2515.03,4.0,0.09,57.0,0.11,139.72,282.39,0.5,1.0,2.0,8.0,0.08,0.0,19.0,38.0,16.0,15.0,25.0,13.64,19.0,,,3.0,4.0,2.0,0.11,2.0,2.0
-1.0,5.0,3.0,2.0,1.0,21.0,1.0,0.0,23.0,2.0,56.67,6.13,2126.03,1.0,0.12,73.0,0.16,118.11,347.11,0.5,1.0,2.0,21.0,0.06,1.0,35.0,38.0,20.0,7.0,32.0,11.54,24.0,,,2.0,4.0,2.0,0.08,2.0,2.0
-1.0,1.0,3.0,2.0,1.0,16.0,1.0,0.0,17.0,1.0,54.5,9.27,4686.53,1.0,0.17,103.0,0.11,260.36,505.41,0.5,1.0,2.0,16.0,0.1,1.0,51.0,52.0,22.0,8.0,20.0,5.56,18.0,,,0.0,4.0,2.0,0.11,2.0,2.0
-1.0,14.0,9.0,5.0,1.0,21.0,4.0,0.75,28.0,2.0,18.72,21.54,8684.58,2.0,0.13,83.0,0.05,482.48,403.21,0.8,4.0,8.0,18.0,0.1,5.0,35.0,48.0,13.0,16.0,49.0,17.65,33.0,,,1.0,16.0,5.0,0.15,8.0,2.0
-1.0,74.0,23.0,10.0,0.83,64.0,3.0,0.18,63.0,3.0,85.71,38.23,125251.55,10.0,1.09,487.0,0.03,6958.42,3276.5,0.25,11.0,21.0,54.0,0.06,30.0,203.0,284.0,77.0,29.0,186.0,43.24,93.0,,,18.0,42.0,12.0,0.13,20.0,2.1
-1.0,47.0,15.0,6.0,0.67,50.0,1.0,0.0,59.0,1.0,47.3,45.77,99082.56,7.0,0.72,336.0,0.02,5504.59,2164.83,0.11,5.0,10.0,43.0,0.06,27.0,136.0,200.0,52.0,35.0,162.0,48.25,86.0,,,28.0,20.0,9.0,0.1,10.0,2.0
-1.0,24.0,37.0,13.0,0.68,68.0,19.0,1.0,69.0,0.0,73.61,37.75,104901.75,6.0,0.93,422.0,0.03,5827.87,2778.85,1.0,16.0,26.0,51.0,0.17,0.0,151.0,271.0,64.0,32.0,112.0,20.69,69.0,,,18.0,52.0,19.0,0.28,20.0,2.6
-1.0,2.0,3.0,1.0,0.5,5.0,1.0,0.0,10.0,1.0,6.92,8.0,442.81,0.0,0.02,16.0,0.13,24.6,55.35,0.5,1.0,2.0,5.0,0.15,0.0,6.0,10.0,3.0,8.0,13.0,0.0,10.0,,,0.0,4.0,2.0,0.2,2.0,2.0
-1.0,27.0,24.0,10.0,0.77,53.0,7.0,0.5,76.0,1.0,60.5,32.21,62767.66,11.0,0.65,298.0,0.03,3487.09,1948.67,0.54,10.0,19.0,42.0,0.08,3.0,102.0,196.0,57.0,36.0,155.0,40.16,79.0,,,48.0,34.0,13.0,0.16,14.0,2.43
-1.0,48.0,57.0,22.0,0.76,161.0,27.0,0.93,165.0,3.0,204.29,41.72,355647.88,11.0,2.84,1112.0,0.02,19758.22,8523.85,0.93,28.0,53.0,134.0,0.09,61.0,463.0,649.0,172.0,31.0,307.0,36.05,226.0,,,32.0,106.0,29.0,0.13,50.0,2.12
-1.0,10.0,7.0,2.0,0.5,14.0,1.0,0.0,15.0,0.0,22.84,25.89,15315.78,1.0,0.2,109.0,0.04,850.88,591.46,0.25,3.0,6.0,12.0,0.09,7.0,41.0,68.0,19.0,24.0,43.0,53.13,22.0,,,10.0,12.0,4.0,0.18,6.0,2.0
-1.0,82.0,43.0,17.0,0.74,117.0,15.0,0.64,176.0,5.0,140.31,37.2,194194.61,12.0,1.74,696.0,0.03,10788.59,5219.89,0.65,19.0,37.0,96.0,0.06,6.0,280.0,416.0,143.0,38.0,390.0,37.59,182.0,,,100.0,74.0,23.0,0.13,36.0,2.06
-1.0,14.0,5.0,1.0,0.33,13.0,1.0,0.0,47.0,2.0,59.87,15.65,14671.27,2.0,0.31,150.0,0.06,815.07,937.19,0.33,2.0,4.0,12.0,0.02,0.0,82.0,68.0,55.0,21.0,121.0,45.35,47.0,,,39.0,8.0,3.0,0.06,4.0,2.0
-1.0,7.0,5.0,2.0,0.67,12.0,1.0,0.0,14.0,1.0,30.91,8.62,2294.05,1.0,0.09,56.0,0.12,127.45,266.27,0.33,2.0,4.0,11.0,0.09,4.0,16.0,40.0,13.0,14.0,34.0,46.15,18.0,,,8.0,8.0,3.0,0.17,4.0,2.0
-1.0,40.0,25.0,10.0,0.77,69.0,3.0,0.17,65.0,3.0,83.84,41.66,145477.36,10.0,1.16,514.0,0.02,8082.08,3492.33,0.23,12.0,23.0,58.0,0.08,30.0,215.0,299.0,80.0,31.0,155.0,42.98,95.0,,,19.0,46.0,13.0,0.14,22.0,2.09
-1.0,10.0,29.0,6.0,0.4,74.0,11.0,0.71,149.0,6.0,118.83,46.92,261640.64,8.0,1.86,781.0,0.02,14535.59,5575.99,0.73,14.0,28.0,61.0,0.07,2.0,333.0,448.0,110.0,31.0,227.0,31.02,151.0,,,65.0,56.0,15.0,0.1,28.0,2.0
-1.0,12.0,11.0,6.0,1.0,30.0,1.0,0.0,44.0,3.0,46.89,18.91,16764.79,5.0,0.3,152.0,0.05,931.38,886.6,0.17,5.0,10.0,26.0,0.08,1.0,52.0,100.0,33.0,24.0,74.0,27.87,45.0,,,16.0,20.0,6.0,0.13,10.0,2.0
-1.0,1.0,3.0,1.0,0.5,5.0,1.0,0.0,7.0,1.0,8.79,12.0,1265.83,0.0,0.04,27.0,0.08,70.32,105.49,0.5,1.0,2.0,5.0,0.22,0.0,12.0,15.0,5.0,10.0,9.0,0.0,7.0,,,0.0,4.0,2.0,0.29,2.0,2.0
