n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,l
21.0,31.0,10.0,13.0,50.0,34.0,18.0,0.13,16.0,2.13,13.0,0.72,72.0,1.0,0.0,125.0,3.0,77.8,40.25,126046.47,1.04,438.0,0.02,7002.58,3131.59,0.06,9.0,17.0,56.0,0.07,168.0,270.0,96.0,46.0,254.0,33.51,138.0,-1.0
19.0,7.0,5.0,5.0,10.0,12.0,4.0,0.15,6.0,2.0,4.0,1.0,15.0,4.0,1.0,22.0,1.0,28.43,13.42,5120.93,0.13,75.0,0.07,284.5,381.56,1.0,3.0,6.0,13.0,0.07,34.0,41.0,19.0,15.0,57.0,40.54,27.0,-1.0
53.0,57.0,13.0,45.0,13.0,112.0,29.0,0.17,56.0,2.0,27.0,0.93,162.0,7.0,0.21,130.0,0.0,91.32,55.88,285170.84,1.7,729.0,0.02,15842.82,5103.0,0.24,28.0,56.0,135.0,0.11,309.0,420.0,94.0,34.0,259.0,30.85,175.0,-1.0
3.0,3.0,0.0,1.0,6.0,4.0,2.0,0.22,2.0,2.0,1.0,0.5,5.0,1.0,0.0,8.0,1.0,10.63,3.75,149.49,0.01,12.0,0.27,8.3,39.86,0.5,1.0,2.0,5.0,0.11,5.0,7.0,4.0,6.0,19.0,46.67,9.0,-1.0
6.0,7.0,0.0,6.0,0.0,10.0,4.0,0.15,4.0,2.5,1.0,0.25,13.0,4.0,1.0,21.0,1.0,21.34,24.44,12748.97,0.17,98.0,0.04,708.28,521.54,1.0,3.0,5.0,11.0,0.12,40.0,58.0,18.0,22.0,34.0,22.22,27.0,-1.0
7.0,9.0,3.0,4.0,5.0,14.0,5.0,0.16,6.0,2.33,3.0,0.6,20.0,3.0,0.5,27.0,0.0,24.71,21.86,11802.86,0.18,108.0,0.05,655.71,540.0,0.6,4.0,7.0,17.0,0.11,34.0,74.0,14.0,18.0,44.0,25.0,31.0,-1.0
23.0,9.0,6.0,3.0,20.0,16.0,5.0,0.19,8.0,2.0,2.0,0.4,23.0,1.0,0.0,24.0,0.0,43.1,15.2,9958.0,0.22,120.0,0.07,553.22,655.13,0.2,4.0,8.0,20.0,0.07,40.0,80.0,25.0,19.0,71.0,48.94,27.0,-1.0
10.0,7.0,5.0,5.0,1.0,12.0,4.0,0.18,6.0,2.0,3.0,0.75,21.0,1.0,0.0,17.0,2.0,31.11,12.06,4520.83,0.13,75.0,0.08,251.16,375.0,0.25,3.0,6.0,19.0,0.12,31.0,44.0,18.0,14.0,34.0,26.09,22.0,-1.0
15.0,13.0,4.0,1.0,1.0,24.0,7.0,0.19,12.0,2.0,6.0,0.86,39.0,1.0,0.0,36.0,2.0,34.37,26.52,24176.72,0.3,168.0,0.04,1343.15,911.61,0.14,6.0,12.0,34.0,0.13,67.0,101.0,24.0,19.0,54.0,5.26,37.0,-1.0
33.0,5.0,4.0,8.0,4.0,8.0,3.0,0.13,4.0,2.0,3.0,1.0,14.0,1.0,0.0,16.0,3.0,28.18,15.16,6475.08,0.14,82.0,0.07,359.73,427.18,0.33,2.0,4.0,13.0,0.05,32.0,50.0,19.0,18.0,62.0,42.86,24.0,-1.0
5.0,5.0,2.0,4.0,0.0,8.0,3.0,0.18,4.0,2.0,3.0,1.0,16.0,1.0,0.0,13.0,0.0,25.58,13.2,4456.28,0.11,71.0,0.08,247.57,337.6,0.33,2.0,4.0,15.0,0.13,33.0,38.0,15.0,12.0,23.0,23.53,17.0,-1.0
23.0,13.0,0.0,10.0,17.0,24.0,7.0,0.21,12.0,2.0,1.0,0.14,27.0,5.0,0.67,23.0,3.0,17.45,27.22,12929.85,0.16,105.0,0.04,718.32,474.97,0.71,6.0,12.0,22.0,0.09,35.0,70.0,9.0,14.0,74.0,54.0,33.0,-1.0
31.0,19.0,5.0,12.0,25.0,34.0,10.0,0.16,16.0,2.13,6.0,0.6,41.0,3.0,0.22,52.0,2.0,47.49,47.96,109246.59,0.76,350.0,0.02,6069.25,2277.73,0.3,9.0,17.0,33.0,0.08,140.0,210.0,54.0,37.0,121.0,41.57,64.0,-1.0
