n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,l
2.0,3.0,7.0,0.0,6.0,4.0,2.0,0.11,2.0,2.0,2.0,1.0,14.0,1.0,0.0,18.0,1.0,2.0,1.0,39.51,10.08,4016.74,0.13,82.0,0.1,223.15,398.35,0.5,1.0,2.0,14.0,0.07,33.0,49.0,18.0,11.0,27.0,25.0,18.0,-1.0
19.0,18.0,23.0,0.0,1.0,16.0,11.0,0.13,8.0,2.0,9.0,0.82,79.0,7.0,0.6,88.0,2.0,8.0,0.73,151.9,21.7,71508.8,1.1,504.0,0.05,3972.71,3295.74,0.64,4.0,8.0,70.0,0.1,194.0,310.0,76.0,17.0,109.0,1.12,88.0,-1.0
8.0,9.0,13.0,0.0,1.0,16.0,5.0,0.11,8.0,2.0,5.0,1.0,68.0,1.0,0.0,44.0,0.0,5.0,1.0,72.83,29.48,63297.51,0.72,348.0,0.03,3516.53,2147.13,0.2,4.0,8.0,65.0,0.09,134.0,214.0,50.0,22.0,54.0,2.22,44.0,-1.0
1.0,5.0,4.0,0.0,0.0,8.0,3.0,0.27,4.0,2.0,3.0,1.0,13.0,1.0,0.0,11.0,1.0,3.0,1.0,23.27,11.38,3010.96,0.09,57.0,0.09,167.28,264.7,0.33,2.0,4.0,12.0,0.23,21.0,36.0,12.0,13.0,13.0,0.0,11.0,-1.0
1.0,3.0,5.0,0.0,1.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,12.0,1.0,0.0,9.0,0.0,2.0,1.0,25.29,11.85,3548.61,0.1,63.0,0.08,197.14,299.56,0.5,1.0,2.0,12.0,0.17,22.0,41.0,13.0,14.0,12.0,10.0,9.0,-1.0
22.0,43.0,20.0,3.0,11.0,38.0,26.0,0.2,18.0,2.11,18.0,0.69,132.0,15.0,0.56,128.0,0.0,19.0,0.73,109.63,42.03,193686.35,1.54,666.0,0.02,10760.35,4607.96,0.58,10.0,19.0,108.0,0.16,255.0,411.0,91.0,30.0,166.0,9.86,131.0,-1.0
0.0,17.0,1.0,0.0,0.0,32.0,9.0,0.45,16.0,2.0,8.0,0.89,48.0,1.0,0.0,20.0,1.0,9.0,1.0,35.13,15.23,8150.47,0.18,120.0,0.07,452.8,535.13,0.11,8.0,16.0,41.0,0.43,44.0,76.0,13.0,9.0,21.0,0.0,20.0,-1.0
0.0,3.0,3.0,0.0,0.0,4.0,2.0,0.5,2.0,2.0,2.0,1.0,9.0,1.0,0.0,4.0,0.0,1.0,0.5,19.46,3.5,238.4,0.02,19.0,0.29,13.24,68.11,0.5,1.0,2.0,9.0,0.4,5.0,14.0,5.0,7.0,5.0,0.0,4.0,-1.0
5.0,11.0,11.0,0.0,2.0,20.0,6.0,0.27,10.0,2.0,5.0,0.83,36.0,1.0,0.0,22.0,2.0,5.0,0.83,35.31,19.55,13490.6,0.23,128.0,0.05,749.48,690.22,0.17,5.0,10.0,32.0,0.19,43.0,85.0,22.0,20.0,31.0,8.33,22.0,-1.0
9.0,12.0,10.0,0.0,2.0,14.0,7.0,0.23,6.0,2.33,7.0,1.0,40.0,6.0,0.83,30.0,0.0,6.0,0.86,52.03,24.0,29970.57,0.42,216.0,0.04,1665.03,1248.77,0.86,4.0,7.0,35.0,0.17,84.0,132.0,35.0,20.0,42.0,6.25,30.0,-1.0
