n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,l
0.0,3.0,2.0,0.0,0.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,8.0,1.0,0.0,6.0,2.0,11.42,6.67,507.65,0.03,20.0,0.15,28.2,76.15,0.5,1.0,2.0,8.0,0.29,10.0,10.0,6.0,8.0,7.0,0.0,6.0,-1.0
1.0,15.0,0.0,0.0,0.0,22.0,8.0,0.42,8.0,2.75,1.0,0.13,25.0,6.0,0.71,19.0,1.0,7.74,101.06,79044.51,0.26,161.0,0.01,4391.36,782.13,0.75,7.0,11.0,19.0,0.38,77.0,84.0,8.0,21.0,21.0,0.0,19.0,-1.0
4.0,13.0,2.0,0.0,3.0,24.0,7.0,0.19,12.0,2.0,7.0,1.0,37.0,1.0,0.0,36.0,0.0,33.06,25.74,21902.71,0.28,161.0,0.04,1216.82,850.95,0.14,6.0,12.0,32.0,0.16,74.0,87.0,23.0,16.0,44.0,7.69,36.0,-1.0
122.0,41.0,1.0,3.0,35.0,70.0,21.0,0.28,30.0,2.33,2.0,0.1,76.0,3.0,0.1,73.0,0.0,69.75,30.42,64529.21,0.71,331.0,0.03,3584.96,2121.51,0.14,20.0,35.0,57.0,0.09,146.0,185.0,60.0,25.0,234.0,34.23,76.0,-1.0
0.0,5.0,4.0,0.0,0.0,8.0,3.0,0.23,4.0,2.0,3.0,1.0,14.0,1.0,0.0,13.0,0.0,14.28,9.33,1243.74,0.04,35.0,0.11,69.1,133.26,0.33,2.0,4.0,13.0,0.21,14.0,21.0,6.0,8.0,14.0,0.0,13.0,-1.0
15.0,11.0,8.0,0.0,15.0,18.0,6.0,0.14,8.0,2.25,3.0,0.5,25.0,1.0,0.0,44.0,0.0,72.17,16.4,19400.82,0.39,202.0,0.06,1077.82,1183.31,0.17,5.0,9.0,21.0,0.08,94.0,108.0,43.0,15.0,75.0,25.42,44.0,-1.0
3.0,11.0,0.0,0.0,0.0,20.0,6.0,0.38,10.0,2.0,1.0,0.17,24.0,1.0,0.0,16.0,0.0,19.33,16.82,5466.44,0.11,74.0,0.06,303.69,325.03,0.17,5.0,10.0,20.0,0.3,37.0,37.0,11.0,10.0,20.0,0.0,16.0,-1.0
29.0,41.0,2.0,17.0,38.0,64.0,21.0,0.18,24.0,2.67,10.0,0.48,68.0,14.0,0.65,101.0,4.0,129.41,22.73,66879.33,0.98,440.0,0.04,3715.52,2942.06,0.67,20.0,32.0,49.0,0.11,201.0,239.0,84.0,19.0,186.0,35.26,118.0,-1.0
2.0,9.0,2.0,1.0,3.0,16.0,5.0,0.5,8.0,2.0,2.0,0.4,23.0,1.0,0.0,9.0,0.0,13.72,23.38,7494.65,0.11,66.0,0.04,416.37,320.63,0.2,4.0,8.0,20.0,0.31,33.0,33.0,12.0,17.0,16.0,30.77,10.0,-1.0
4.0,3.0,0.0,1.0,3.0,4.0,2.0,0.13,2.0,2.0,1.0,0.5,5.0,1.0,0.0,14.0,0.0,40.13,12.11,5880.71,0.16,100.0,0.08,326.71,485.8,0.5,1.0,2.0,5.0,0.09,46.0,54.0,19.0,10.0,23.0,22.22,15.0,-1.0
14.0,11.0,1.0,2.0,16.0,20.0,6.0,0.14,10.0,2.0,3.0,0.5,28.0,1.0,0.0,40.0,0.0,35.84,38.68,53612.97,0.46,242.0,0.03,2978.5,1386.16,0.17,5.0,10.0,24.0,0.08,109.0,133.0,31.0,22.0,73.0,31.03,42.0,-1.0
8.0,3.0,2.0,0.0,4.0,4.0,2.0,0.06,2.0,2.0,1.0,0.5,8.0,1.0,0.0,35.0,0.0,100.04,13.22,17485.4,0.44,213.0,0.08,971.41,1322.61,0.5,1.0,2.0,8.0,0.04,104.0,109.0,59.0,15.0,48.0,10.26,35.0,-1.0
