n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,l
1.0,21.0,4.0,0.0,0.0,36.0,11.0,0.39,16.0,2.25,7.0,0.64,40.0,9.0,0.8,28.0,1.0,11.0,1.0,22.35,34.53,26650.95,0.26,153.0,0.03,1480.61,771.79,0.82,10.0,18.0,31.0,0.35,65.0,88.0,16.0,17.0,31.0,0.0,28.0,-1.0
13.0,13.0,4.0,2.0,13.0,24.0,7.0,0.17,12.0,2.0,2.0,0.29,29.0,4.0,0.5,39.0,0.0,0.0,0.0,42.89,24.48,25705.69,0.35,187.0,0.04,1428.09,1049.95,0.57,6.0,12.0,24.0,0.1,71.0,116.0,29.0,20.0,69.0,27.78,41.0,-1.0
0.0,3.0,0.0,0.0,1.0,4.0,2.0,0.18,2.0,2.0,1.0,0.5,6.0,1.0,0.0,11.0,1.0,2.0,1.0,16.29,7.56,931.62,0.04,29.0,0.13,51.76,123.19,0.5,1.0,2.0,6.0,0.14,11.0,18.0,8.0,11.0,14.0,8.33,11.0,-1.0
1.0,3.0,0.0,0.0,2.0,4.0,2.0,0.29,2.0,2.0,1.0,0.5,6.0,1.0,0.0,7.0,2.0,2.0,1.0,10.42,8.25,709.1,0.03,22.0,0.12,39.39,85.95,0.5,1.0,2.0,6.0,0.17,11.0,11.0,6.0,9.0,12.0,22.22,7.0,-1.0
2.0,7.0,0.0,2.0,0.0,12.0,4.0,0.18,6.0,2.0,1.0,0.25,14.0,1.0,0.0,20.0,0.0,2.0,0.5,17.76,19.62,6833.79,0.12,71.0,0.05,379.65,348.39,0.25,3.0,6.0,12.0,0.15,30.0,41.0,13.0,17.0,26.0,9.09,22.0,-1.0
1.0,7.0,1.0,0.0,0.0,12.0,4.0,0.44,6.0,2.0,2.0,0.5,16.0,1.0,0.0,9.0,1.0,2.0,0.5,9.94,20.43,4149.67,0.07,47.0,0.05,230.54,203.13,0.25,3.0,6.0,14.0,0.33,22.0,25.0,7.0,13.0,12.0,0.0,9.0,-1.0
9.0,13.0,2.0,0.0,14.0,28.0,7.0,0.23,14.0,2.0,3.0,0.43,28.0,1.0,0.0,30.0,0.0,7.0,1.0,29.37,18.17,9701.95,0.18,99.0,0.06,539.0,533.84,0.14,7.0,14.0,23.0,0.13,44.0,55.0,23.0,19.0,55.0,31.82,30.0,-1.0
24.0,24.0,0.0,3.0,17.0,12.0,20.0,0.21,6.0,2.0,1.0,0.05,49.0,1.0,0.0,91.0,1.0,20.0,1.0,65.56,23.68,36775.64,0.52,241.0,0.04,2043.09,1552.75,0.05,3.0,6.0,31.0,0.15,90.0,151.0,57.0,30.0,137.0,18.02,94.0,-1.0
60.0,115.0,9.0,19.0,98.0,216.0,58.0,0.19,102.0,2.12,16.0,0.28,247.0,39.0,0.67,287.0,0.0,46.0,0.79,107.39,96.09,991629.56,3.44,1479.0,0.01,55090.53,10319.4,0.67,57.0,108.0,191.0,0.12,615.0,864.0,96.0,30.0,466.0,28.96,306.0,1.0
5.0,5.0,0.0,0.0,7.0,8.0,3.0,0.21,4.0,2.0,1.0,0.33,9.0,1.0,0.0,14.0,2.0,1.0,0.33,15.99,6.67,710.71,0.04,28.0,0.15,39.48,106.61,0.33,2.0,4.0,8.0,0.11,10.0,18.0,6.0,8.0,28.0,33.33,14.0,1.0
13.0,58.0,8.0,15.0,12.0,80.0,32.0,0.24,30.0,2.67,21.0,0.66,105.0,20.0,0.61,120.0,0.0,27.0,0.84,49.52,51.79,132801.57,0.85,408.0,0.02,7377.86,2564.44,0.63,25.0,40.0,75.0,0.2,175.0,233.0,49.0,29.0,162.0,18.37,135.0,1.0
11.0,15.0,3.0,8.0,21.0,28.0,8.0,0.14,14.0,2.0,5.0,0.63,41.0,1.0,0.0,49.0,1.0,2.0,0.25,29.04,65.22,123506.5,0.63,349.0,0.02,6861.47,1893.77,0.13,7.0,14.0,35.0,0.09,150.0,199.0,23.0,20.0,91.0,37.18,57.0,1.0
