n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,l
4.0,5.0,10.0,0.0,4.0,8.0,3.0,0.17,4.0,2.0,3.0,1.0,21.0,1.0,0.0,18.0,0.0,74.01,4.08,1234.01,0.1,61.0,0.24,68.56,302.21,0.33,2.0,4.0,20.0,0.11,28.0,33.0,24.0,7.0,27.0,18.18,18.0,-1.0
10.0,7.0,7.0,0.0,14.0,12.0,4.0,0.15,6.0,2.0,2.0,0.5,23.0,3.0,0.0,26.0,0.0,44.19,10.02,4437.26,0.15,85.0,0.1,246.51,442.8,0.75,3.0,6.0,21.0,0.08,37.0,48.0,24.0,13.0,51.0,35.0,26.0,-1.0
6.0,5.0,6.0,0.0,18.0,8.0,3.0,0.13,4.0,2.0,3.0,1.0,19.0,1.0,0.0,23.0,2.0,34.08,11.19,4270.38,0.13,77.0,0.09,237.24,381.47,0.33,2.0,4.0,18.0,0.06,31.0,46.0,18.0,13.0,48.0,43.9,23.0,-1.0
4.0,3.0,6.0,0.0,2.0,4.0,2.0,0.15,2.0,2.0,2.0,1.0,12.0,1.0,0.0,13.0,1.0,46.71,4.07,774.24,0.06,44.0,0.25,43.01,190.16,0.5,1.0,2.0,12.0,0.1,19.0,25.0,14.0,6.0,20.0,13.33,13.0,-1.0
6.0,15.0,7.0,0.0,5.0,14.0,9.0,0.29,6.0,2.33,6.0,0.67,32.0,1.0,0.0,31.0,0.0,35.72,13.91,6910.42,0.17,94.0,0.07,383.91,496.83,0.11,4.0,7.0,25.0,0.21,36.0,58.0,22.0,17.0,43.0,13.89,31.0,-1.0
4.0,11.0,2.0,0.0,8.0,20.0,6.0,0.3,10.0,2.0,3.0,0.5,24.0,1.0,0.0,20.0,1.0,22.99,18.44,7817.84,0.14,82.0,0.05,434.32,423.93,0.17,5.0,10.0,20.0,0.18,33.0,49.0,17.0,19.0,33.0,28.57,20.0,-1.0
10.0,5.0,7.0,3.0,7.0,8.0,3.0,0.06,4.0,2.0,3.0,1.0,20.0,1.0,0.0,44.0,2.0,58.61,15.28,13683.04,0.3,151.0,0.07,760.17,895.54,0.33,2.0,4.0,19.0,0.05,73.0,78.0,43.0,18.0,65.0,18.52,47.0,-1.0
13.0,35.0,9.0,0.0,8.0,52.0,18.0,0.3,18.0,2.89,8.0,0.44,74.0,12.0,0.0,61.0,1.0,76.37,23.23,41194.43,0.59,276.0,0.04,2288.58,1773.65,0.67,17.0,48.0,58.0,0.22,120.0,156.0,62.0,24.0,83.0,11.59,61.0,-1.0
3.0,5.0,2.0,0.0,2.0,8.0,3.0,0.19,4.0,2.0,3.0,1.0,15.0,1.0,0.0,16.0,2.0,22.71,10.68,2589.55,0.08,51.0,0.09,143.86,242.5,0.33,2.0,4.0,14.0,0.14,23.0,28.0,14.0,13.0,22.0,11.11,16.0,-1.0
1.0,5.0,3.0,0.0,0.0,8.0,3.0,0.15,4.0,2.0,3.0,1.0,13.0,1.0,0.0,20.0,0.0,42.85,5.83,1458.23,0.08,52.0,0.17,81.01,249.98,0.33,2.0,4.0,12.0,0.14,21.0,31.0,18.0,10.0,22.0,0.0,20.0,-1.0
1.0,9.0,2.0,0.0,6.0,10.0,5.0,0.56,2.0,5.0,3.0,0.6,14.0,5.0,1.0,9.0,1.0,18.8,4.57,392.92,0.03,22.0,0.22,21.83,85.95,1.0,4.0,5.0,11.0,0.29,8.0,14.0,7.0,8.0,17.0,40.0,9.0,-1.0
1.0,3.0,2.0,0.0,1.0,4.0,2.0,0.4,2.0,2.0,2.0,1.0,6.0,1.0,0.0,5.0,0.0,16.73,3.0,150.57,0.02,14.0,0.33,8.36,50.19,0.5,1.0,2.0,6.0,0.25,6.0,8.0,6.0,6.0,8.0,16.67,5.0,-1.0
10.0,17.0,4.0,0.0,10.0,28.0,9.0,0.29,12.0,2.33,3.0,0.33,39.0,5.0,0.0,31.0,0.0,52.98,20.54,22355.6,0.36,190.0,0.05,1241.98,1088.3,0.56,8.0,15.0,32.0,0.17,87.0,103.0,36.0,17.0,52.0,24.39,31.0,-1.0
9.0,5.0,2.0,0.0,5.0,8.0,3.0,0.11,4.0,2.0,2.0,0.67,12.0,3.0,1.0,27.0,2.0,35.26,21.24,15905.03,0.25,138.0,0.05,883.61,748.82,1.0,2.0,4.0,11.0,0.07,59.0,79.0,25.0,18.0,42.0,15.63,27.0,-1.0
