n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,l
6.0,21.0,9.0,8.0,6.0,26.0,11.0,0.19,6.0,1.0,0.09,41.0,9.0,0.8,49.0,0.0,3.0,0.27,62.81,18.93,22497.56,0.4,214.0,0.05,1249.86,1188.68,0.82,10.0,13.0,32.0,0.16,99.0,115.0,34.0,13.0,70.0,22.22,57.0,-1.0
0.0,1.0,0.0,0.0,1.0,12.0,1.0,0.25,2.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,16.64,8.94,1328.8,0.05,35.0,0.11,73.82,148.68,1.0,5.0,8.0,2.0,0.14,13.0,22.0,8.0,11.0,7.0,20.0,4.0,-1.0
9.0,21.0,4.0,3.0,47.0,38.0,11.0,0.24,18.0,3.0,0.27,49.0,8.0,0.7,42.0,0.0,4.0,0.36,19.25,40.59,31716.38,0.26,150.0,0.02,1762.02,781.42,0.73,10.0,19.0,40.0,0.11,69.0,81.0,17.0,20.0,103.0,54.35,45.0,-1.0
0.0,9.0,0.0,0.0,5.0,10.0,5.0,0.56,2.0,1.0,0.2,11.0,5.0,1.0,9.0,0.0,4.0,0.8,23.63,6.0,850.66,0.05,34.0,0.17,47.26,141.78,1.0,4.0,5.0,8.0,0.31,12.0,22.0,9.0,9.0,16.0,35.71,9.0,-1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,11.65,4.0,186.42,0.02,13.0,0.25,10.36,46.6,1.0,0.0,0.0,3.0,0.14,4.0,9.0,4.0,8.0,7.0,0.0,3.0,-1.0
3.0,5.0,1.0,1.0,6.0,6.0,3.0,0.3,2.0,1.0,0.33,9.0,3.0,1.0,9.0,0.0,1.0,0.33,14.13,13.3,2500.18,0.06,41.0,0.08,138.9,187.98,1.0,2.0,3.0,8.0,0.14,19.0,22.0,10.0,14.0,22.0,43.75,10.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,9.0,3.33,100.0,0.01,10.0,0.3,5.56,30.0,1.0,0.0,0.0,2.0,0.17,4.0,6.0,3.0,5.0,6.0,0.0,3.0,-1.0
32.0,11.0,1.0,0.0,0.0,18.0,6.0,0.23,8.0,2.0,0.33,20.0,3.0,0.4,26.0,0.0,6.0,1.0,36.81,15.65,9017.36,0.19,109.0,0.06,500.96,576.11,0.5,5.0,9.0,16.0,0.1,45.0,64.0,23.0,16.0,61.0,0.0,26.0,-1.0
4.0,7.0,3.0,0.0,0.0,10.0,4.0,0.2,4.0,2.0,0.5,14.0,3.0,0.67,20.0,0.0,3.0,0.75,31.42,11.2,3940.85,0.12,74.0,0.09,218.94,351.86,0.75,3.0,5.0,12.0,0.15,28.0,46.0,15.0,12.0,26.0,0.0,20.0,-1.0
2.0,13.0,1.0,0.0,9.0,16.0,7.0,0.33,4.0,1.0,0.14,18.0,7.0,1.0,21.0,0.0,1.0,0.14,22.23,16.0,5691.91,0.12,74.0,0.06,316.22,355.74,1.0,6.0,10.0,13.0,0.2,32.0,42.0,14.0,14.0,35.0,30.0,21.0,-1.0
