l,n_0,n_1,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_2,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_3,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_4,n_5,n_6,n_7,n_8,n_9
-1.0,16.0,5.0,2.0,0.67,11.0,1.0,0.0,20.0,1.0,37.71,30.2,34384.39,1.0,0.38,205.0,0.03,1910.24,1138.69,0.33,2.0,4.0,10.0,0.06,10.0,89.0,116.0,28.0,19.0,54.0,45.95,30.0,,,7.0,8.0,3.0,0.1,4.0,2.0
-1.0,4.0,3.0,1.0,0.5,5.0,1.0,0.0,11.0,2.0,20.51,6.11,765.94,0.0,0.04,29.0,0.16,42.55,125.34,0.5,1.0,2.0,5.0,0.12,0.0,10.0,19.0,9.0,11.0,17.0,8.33,11.0,,,1.0,4.0,2.0,0.18,2.0,2.0
-1.0,26.0,17.0,6.0,0.67,39.0,4.0,0.38,62.0,2.0,97.49,20.91,42621.97,4.0,0.68,314.0,0.05,2367.89,2038.44,0.44,8.0,14.0,32.0,0.07,5.0,115.0,199.0,66.0,24.0,126.0,37.37,67.0,,,32.0,28.0,9.0,0.13,12.0,2.33
-1.0,6.0,5.0,3.0,1.0,14.0,1.0,0.0,22.0,0.0,24.31,14.06,4807.12,1.0,0.11,69.0,0.07,267.06,341.84,0.33,2.0,4.0,13.0,0.09,4.0,30.0,39.0,16.0,15.0,33.0,15.38,26.0,,,0.0,8.0,3.0,0.12,4.0,2.0
-1.0,8.0,19.0,8.0,0.8,40.0,10.0,1.0,29.0,2.0,31.33,20.43,13084.38,6.0,0.21,118.0,0.05,726.91,640.3,1.0,9.0,16.0,32.0,0.26,1.0,47.0,71.0,23.0,20.0,39.0,3.33,30.0,,,0.0,32.0,10.0,0.33,14.0,2.29
-1.0,2.0,49.0,9.0,0.36,117.0,12.0,0.46,128.0,0.0,104.25,54.33,307757.08,8.0,1.89,790.0,0.02,17097.62,5664.24,0.48,24.0,45.0,94.0,0.11,33.0,326.0,464.0,108.0,36.0,233.0,41.55,161.0,,,58.0,90.0,25.0,0.16,42.0,2.14
-1.0,1.0,3.0,2.0,1.0,6.0,1.0,0.0,10.0,0.0,10.75,7.0,526.99,1.0,0.03,21.0,0.14,29.28,75.28,0.5,1.0,2.0,6.0,0.17,0.0,7.0,14.0,4.0,8.0,12.0,0.0,10.0,,,0.0,4.0,2.0,0.2,2.0,2.0
-1.0,1.0,5.0,1.0,0.33,9.0,1.0,0.0,9.0,1.0,12.09,14.14,2417.96,0.0,0.06,41.0,0.07,134.33,170.97,0.33,2.0,4.0,8.0,0.27,0.0,18.0,23.0,7.0,11.0,11.0,0.0,9.0,,,0.0,8.0,3.0,0.33,4.0,2.0
-1.0,49.0,19.0,7.0,0.7,60.0,10.0,1.0,98.0,1.0,125.84,27.25,93428.15,8.0,1.14,486.0,0.04,5190.45,3428.87,1.0,9.0,15.0,52.0,0.05,6.0,172.0,314.0,101.0,32.0,211.0,39.13,104.0,,,57.0,30.0,10.0,0.1,12.0,2.5
-1.0,2.0,5.0,3.0,1.0,14.0,1.0,0.0,21.0,2.0,34.56,8.63,2570.73,4.0,0.1,62.0,0.12,142.82,298.06,0.33,2.0,4.0,13.0,0.12,0.0,23.0,39.0,16.0,12.0,26.0,8.7,21.0,,,2.0,8.0,3.0,0.14,4.0,2.0
