n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,l
20.0,1.0,4.0,6.0,2.0,0.0,1.0,0.1,0.0,0.0,1.0,1.0,5.0,1.0,0.0,4.0,1.0,32.9,2.78,253.82,0.03,24.0,0.36,14.1,91.38,1.0,0.0,0.0,6.0,0.02,10.0,14.0,9.0,5.0,63.0,66.67,10.0,-1.0
8.0,3.0,0.0,0.0,2.0,4.0,2.0,0.07,2.0,2.0,1.0,0.5,6.0,1.0,0.0,28.0,0.0,45.76,22.9,24004.59,0.35,206.0,0.04,1333.59,1048.02,0.5,1.0,2.0,6.0,0.05,74.0,132.0,21.0,13.0,40.0,6.67,28.0,-1.0
30.0,11.0,2.0,9.0,17.0,20.0,6.0,0.19,10.0,2.0,5.0,0.83,24.0,1.0,0.0,23.0,1.0,30.74,15.56,7439.0,0.16,94.0,0.06,413.28,478.22,0.17,5.0,10.0,20.0,0.08,35.0,59.0,18.0,16.0,80.0,53.06,32.0,-1.0
11.0,9.0,3.0,0.0,4.0,16.0,5.0,0.23,8.0,2.0,3.0,0.6,21.0,1.0,0.0,22.0,0.0,25.42,17.34,7647.27,0.15,89.0,0.06,424.85,440.92,0.2,4.0,8.0,18.0,0.13,37.0,52.0,16.0,15.0,39.0,15.38,22.0,-1.0
24.0,19.0,1.0,2.0,20.0,32.0,10.0,0.16,14.0,2.29,5.0,0.5,39.0,6.0,0.56,59.0,0.0,38.85,47.92,89204.84,0.62,341.0,0.02,4955.82,1861.67,0.6,9.0,16.0,31.0,0.09,115.0,226.0,24.0,20.0,107.0,27.16,61.0,-1.0
18.0,17.0,5.0,6.0,11.0,32.0,9.0,0.24,16.0,2.0,6.0,0.67,35.0,1.0,0.0,32.0,0.0,26.92,45.5,55737.5,0.41,245.0,0.02,3096.53,1225.0,0.11,8.0,16.0,28.0,0.13,91.0,154.0,16.0,16.0,69.0,34.69,38.0,-1.0
2.0,7.0,0.0,0.0,0.0,0.0,4.0,0.5,0.0,0.0,1.0,0.25,13.0,4.0,1.0,8.0,2.0,7.5,12.0,1079.34,0.03,26.0,0.08,59.96,89.95,1.0,0.0,0.0,11.0,0.33,9.0,17.0,3.0,8.0,12.0,0.0,8.0,-1.0
11.0,3.0,1.0,0.0,4.0,4.0,2.0,0.1,2.0,2.0,1.0,0.5,7.0,1.0,0.0,21.0,0.0,22.1,19.17,8119.88,0.14,95.0,0.05,451.1,423.65,0.5,1.0,2.0,7.0,0.05,46.0,49.0,12.0,10.0,38.0,16.0,21.0,-1.0
1.0,9.0,1.0,0.0,0.0,0.0,5.0,0.45,0.0,0.0,3.0,0.6,18.0,1.0,0.0,11.0,2.0,16.12,14.3,3299.03,0.08,51.0,0.07,183.28,230.7,0.2,0.0,0.0,15.0,0.38,22.0,29.0,10.0,13.0,13.0,0.0,11.0,-1.0
0.0,6.0,1.0,0.0,0.0,0.0,5.0,0.26,0.0,0.0,5.0,1.0,12.0,1.0,0.0,19.0,4.0,27.89,9.5,2517.23,0.09,54.0,0.11,139.85,264.97,0.2,0.0,0.0,9.0,0.25,19.0,35.0,15.0,15.0,20.0,0.0,19.0,-1.0
